(157,2970) 5888 3933 4223 644 5526 1360 7656 6482 1196 5778 1289 2733 6049 5212 1110 6093 6478 6191 2852 6170 2172 3839 139 4057 4200 1359 1866 1795 3859 623 6636 1117 4659 54 496 725 3310 713 6980 4253 4461 3794 6174 642 7045 6397 5763 4245 3805 4201 2045 5110 304 1064 6802 7402 4822 1045 5592 4686 4820 2016 7145 7268 7141 26 474 6760 6523 2357 701 1448 4572 361 1804 7434 301 1827 1313 5455 6576 483 5658 7112 1282 4613 4621 5703 4170 2114 6908 4382 3511 3371 1437 5294 7408 5096 1883 712
(25,4381) 3377 193 5536 4191 7070 3478 3695 4662 4177 3043 4590 6273 4249 5179 6752 6073 4511 5684 3008 3114 1125 7088 3307 3461 3506 888 7141 1614 6731 4661 3422 4063 1317 5204 7179 4957 921 4973 2954 843 1228 1952 1327 4073 2068 4762 179 5138 1694 4495 3108 1374 2785 3247 2680 510 618 1888 5515 7652 4579 366 6986 322 3207 5109 6310 2311 4272 5778 5646 7431 2118 4634 2428 5198 690 5666 6297 3616 2089 741 3843 7586 7539 2167 5241 480 2253 4512 4415 5214 7646 1735 4362 6816 2654 669 3815 4650
(244,3900) 4887 6316 3554 6391 5472 3673 4769 6610 3455 4554 4840 3289 532 5892 3092 4379 4706 842 4841 4453 2657 1469 1110 7619 6736 3222 6184 6967 5298 6153 1378 607 4740 6959 7576 6977 6451 6585 1237 7038 2945 2046 5415 4953 3128 698 2374 4041 2897 3223 6964 1389 3279 5603 1145 2543 7431 3416 5865 99 3745 4235 7385 979 4581 6572 2061 6390 7478 6887 668 7410 4858 4350 7496 4636 5881 6846 4089 281 5770 1782 682 7214 1534 5579 839 2903 1044 3678 1369 1288 6228 6241 3926 5517 6019 3833 2734 5863
(126,2834) 176 4024 736 5497 4708 4390 170 7221 4619 2307 7444 2304 6892 3790 1534 3656 3158 2940 3218 5636 4937 2384 5473 5542 1737 2338 6121 1860 208 4618 6595 3301 2366 7076 1665 1540 6471 2465 6251 3487 5944 4314 358 1970 6275 1323 1292 6850 325 3275 6884 557 6640 399 1545 3705 2237 844 6418 2174 6235 1837 532 7214 5767 1904 1566 6965 3371 2843 4609 1700 7104 6991 1413 6206 484 1215 1139 121 4902 7658 779 5431 4509 6895 2748 1924 2085 1221 3069 5514 5930 5573 1934 675 6285 5946 2565 3837
(175,7077) 5059 1264 6579 933 3068 310 4371 3525 3983 3503 4904 7361 7646 6099 898 5554 80 5185 7189 233 7000 4409 2349 2179 5937 98 2558 6824 225 2921 5416 2202 5644 5162 7241 6562 5084 3674 2594 1788 6843 1638 7378 120 570 2805 4662 2815 7689 7434 6087 4268 5218 6748 893 1993 1755 7330 1515 6391 1705 4575 5366 26 7491 4334 1301 7151 692 3868 3238 3094 1400 2922 6138 237 4647 1902 6771 6897 220 3642 7153 618 1559 3666 2617 5919 3167 2371 2920 5735 3298 3462 6775 1687 7031 6833 2383 4579
(39,3420) 6616 2617 3775 548 660 1206 7021 6475 2980 1893 855 5397 212 3179 2428 2378 178 1869 6042 5454 6299 1202 3066 724 7587 5051 5947 6697 6180 5163 5095 6560 5520 1064 3253 4980 3911 1198 5486 4584 4572 5721 4910 295 2304 2878 3250 365 4086 4751 3804 1110 6111 766 5087 519 2789 369 5523 2003 5857 3311 6661 2264 4896 7586 4714 3466 6461 1585 2557 946 3011 5997 3930 452 3265 2928 5407 1484 6353 1839 1515 6092 1144 5144 2581 844 3184 4152 592 2423 1913 2967 1324 2656 4041 3237 3544 3486
(180,4644) 4655 3779 1847 1245 1267 3843 6655 2747 774 4983 545 567 2197 4665 3568 6713 606 7480 5091 730 7637 5164 2772 2186 3143 1392 3046 6991 296 1960 5008 5555 2129 6560 4868 3133 3771 4902 7420 5504 2160 3605 5375 7114 1481 855 213 581 5720 6893 82 1677 2994 5179 7495 3011 310 3444 5877 382 3899 91 5707 424 6628 2366 219 1219 2923 235 6101 7305 1104 5510 5734 3527 5456 4579 6152 4017 3309 4672 2269 194 3249 1441 6744 3705 6174 1021 6740 4092 6515 2918 5554 5171 248 5497 4134 6779
(282,7252) 5081 269 166 6013 1782 3010 3011 3938 5887 860 2799 4415 5876 4876 591 5379 7192 7555 6974 6735 624 3534 4245 1314 2100 886 4747 3021 295 3738 3385 4483 4890 1599 5991 1053 272 6194 961 3908 7424 4981 1887 7563 2240 7175 3135 7343 6790 4620 1869 4027 5084 4263 1811 5363 4518 2165 3373 5775 7016 2609 3758 2451 337 6359 7456 3347 5093 3286 1520 7101 7017 7547 905 5334 682 6525 6280 1519 3086 3387 1208 586 6645 931 390 2153 6612 574 3661 6095 4566 5886 2611 803 6556 4997 6696 112
(198,2269) 702 831 583 744 2252 7413 4928 896 2318 3574 2285 4602 2289 7586 4440 4215 7116 2915 864 6584 600 6323 5600 1524 1564 2435 5956 2065 6973 2758 704 2664 3968 7365 2539 1181 5952 6296 2676 6520 5826 5257 57 3943 2046 6403 5372 2849 4382 4233 5281 6229 3132 3392 5793 6480 2967 3596 4028 7244 7278 769 3212 3858 2909 5987 3157 7609 6523 6558 3389 121 5467 5701 1629 2095 959 3582 7598 2906 1479 3624 3566 473 3050 3216 817 623 5343 4718 5687 3119 2409 2430 3247 4573 5503 7450 2394 5177
(281,4277) 995 1848 5022 6294 5344 7173 6407 509 3774 4298 5769 5497 5678 5848 6429 835 127 2029 5964 4898 2894 289 3018 5495 1977 3439 1056 5031 2878 7035 3974 3908 5874 984 417 7410 4896 57 3626 5010 3762 2177 4172 5320 6911 1767 3576 1649 4973 4246 7327 1740 5488 1374 7221 2785 1434 2910 3406 5197 3113 4147 618 7085 3083 6031 6971 3041 4442 6202 1778 6348 2057 7386 3244 6002 4325 6136 1787 4622 7406 2703 7333 5908 7162 2539 6415 7117 7553 1023 7262 1247 1450 7587 2622 5821 2665 5727 3210 2132
